aX,aY,aZ,gX,gY,gZ
10.331,8.993,1.990,0.558,-0.168,0.905
10.470,9.785,1.906,0.494,-0.084,1.066
10.613,10.664,1.832,0.388,0.033,1.294
10.649,11.121,1.805,0.295,0.118,1.477
10.616,11.392,1.839,0.192,0.198,1.672
10.487,11.499,1.918,0.051,0.298,1.949
10.345,11.392,1.990,-0.050,0.367,2.169
10.168,11.169,2.131,-0.143,0.435,2.396
9.960,10.858,2.294,-0.223,0.498,2.631
9.591,10.317,2.528,-0.310,0.578,2.947
9.299,9.773,2.787,-0.362,0.629,3.174
8.993,9.136,3.033,-0.399,0.667,3.386
8.593,8.217,3.407,-0.423,0.701,3.640
8.279,7.468,3.745,-0.424,0.714,3.805
7.922,6.637,4.140,-0.407,0.715,3.948
7.336,5.183,4.764,-0.354,0.684,4.091
6.766,3.177,5.686,-0.254,0.618,4.158
5.871,0.170,7.013,-0.032,0.499,4.202
4.511,-4.700,8.485,0.437,0.256,4.189
3.405,-8.547,9.160,0.888,0.086,4.145
2.413,-11.648,9.596,1.377,-0.049,4.074
1.039,-15.014,9.893,2.013,-0.201,3.941
0.057,-17.437,10.056,2.460,-0.295,3.815
-0.900,-20.379,9.823,2.917,-0.384,3.563
-1.307,-22.228,9.416,3.089,-0.457,3.280
-1.240,-23.707,8.696,3.091,-0.528,2.897
-0.723,-24.871,7.860,2.878,-0.625,2.253
-0.283,-25.134,7.496,2.600,-0.689,1.704
0.294,-25.118,7.372,2.241,-0.736,1.112
1.365,-25.017,7.405,1.696,-0.755,0.277
2.217,-24.701,7.523,1.302,-0.693,-0.341
3.024,-23.875,7.616,0.949,-0.580,-0.909
4.058,-22.051,7.733,0.513,-0.398,-1.557
4.822,-20.430,7.834,0.205,-0.247,-1.955
5.583,-18.711,7.910,-0.085,-0.087,-2.283
6.512,-16.192,7.927,-0.436,0.145,-2.603
7.070,-14.248,7.913,-0.673,0.324,-2.761
7.525,-11.916,7.927,-0.958,0.534,-2.887
7.642,-10.501,7.949,-1.141,0.656,-2.932
7.590,-9.366,7.918,-1.293,0.748,-2.940
7.326,-8.104,7.796,-1.444,0.824,-2.895
7.041,-7.197,7.688,-1.525,0.845,-2.815
6.728,-6.235,7.537,-1.590,0.848,-2.702
6.381,-4.944,7.365,-1.665,0.837,-2.518
6.132,-4.113,7.286,-1.710,0.812,-2.370
5.866,-3.503,7.271,-1.731,0.771,-2.226
5.646,-2.859,7.250,-1.725,0.675,-2.055
5.622,-2.200,7.135,-1.695,0.577,-1.948
5.794,-1.111,6.859,-1.630,0.423,-1.835
6.057,-0.323,6.665,-1.568,0.302,-1.779
6.414,0.350,6.522,-1.497,0.193,-1.752
7.010,1.252,6.390,-1.379,0.070,-1.756
7.487,2.006,6.335,-1.275,-0.018,-1.776
7.997,2.823,6.299,-1.154,-0.106,-1.801
8.799,4.044,6.151,-0.973,-0.218,-1.834
9.440,5.090,5.969,-0.818,-0.292,-1.850
10.070,6.215,5.751,-0.640,-0.355,-1.849
10.870,7.872,5.313,-0.367,-0.422,-1.809
11.416,9.239,4.903,-0.144,-0.457,-1.742
12.062,11.238,4.334,0.160,-0.485,-1.591
12.514,12.775,3.847,0.378,-0.493,-1.435
12.931,14.265,3.340,0.581,-0.491,-1.240
13.391,15.996,2.729,0.828,-0.457,-0.912
13.668,16.989,2.363,0.985,-0.410,-0.614
13.867,17.772,2.047,1.101,-0.349,-0.278
14.085,18.615,1.709,1.166,-0.240,0.219
14.138,19.137,1.506,1.136,-0.143,0.620
14.054,19.496,1.369,1.036,-0.038,1.036
13.752,19.620,1.209,0.804,0.101,1.597
13.352,19.412,1.171,0.569,0.195,2.010
12.842,19.015,1.195,0.300,0.278,2.418
12.282,18.435,1.264,0.008,0.351,2.816
11.495,17.272,1.415,-0.385,0.442,3.318
10.803,16.044,1.638,-0.663,0.503,3.659
9.900,14.219,2.267,-0.901,0.532,3.956
8.255,9.764,4.307,-1.013,0.464,4.286
6.704,5.310,5.950,-0.887,0.323,4.471
4.966,-0.029,7.314,-0.589,0.164,4.613
2.926,-6.397,8.523,-0.047,-0.033,4.697
1.302,-10.285,8.880,0.392,-0.190,4.693
-0.381,-13.396,9.105,0.846,-0.337,4.666
-3.697,-24.993,6.026,1.588,-0.963,3.331
-3.055,-27.172,5.741,1.476,-1.062,2.674
-1.645,-30.212,5.097,1.244,-1.192,1.571
-0.845,-31.201,4.487,1.045,-1.240,0.680
0.017,-30.442,3.984,0.820,-1.197,-0.382
0.917,-28.867,3.883,0.642,-1.073,-1.062
2.097,-26.703,4.027,0.427,-0.912,-1.662
3.881,-23.207,4.556,0.125,-0.658,-2.325
5.296,-20.291,5.059,-0.087,-0.434,-2.724
6.639,-17.372,5.583,-0.283,-0.182,-3.040
8.102,-13.774,6.057,-0.521,0.165,-3.349
8.811,-11.353,6.232,-0.677,0.401,-3.502
9.100,-9.136,6.366,-0.816,0.592,-3.584
8.959,-6.412,6.558,-0.982,0.746,-3.588
8.581,-4.647,6.756,-1.093,0.793,-3.516
7.898,-2.741,7.137,-1.222,0.815,-3.330
7.391,-1.657,7.448,-1.302,0.835,-3.132
6.941,-0.771,7.717,-1.365,0.864,-2.902
6.455,0.220,7.944,-1.436,0.895,-2.567
6.158,0.912,8.054,-1.479,0.891,-2.312
5.933,1.559,8.157,-1.513,0.848,-2.063
5.760,2.330,8.277,-1.547,0.735,-1.753
5.751,2.849,8.310,-1.569,0.622,-1.547
5.909,3.292,8.294,-1.596,0.496,-1.373
6.323,3.730,8.124,-1.645,0.326,-1.192
6.756,3.912,7.975,-1.692,0.214,-1.093
7.226,3.898,7.848,-1.735,0.117,-1.020
7.788,3.582,7.690,-1.775,-0.005,-0.953
8.183,3.223,7.544,-1.780,-0.099,-0.920
8.626,2.727,7.298,-1.743,-0.219,-0.885
8.952,2.351,7.029,-1.676,-0.304,-0.856
9.282,2.030,6.670,-1.582,-0.376,-0.822
9.761,1.774,6.144,-1.419,-0.442,-0.766
10.096,1.640,5.782,-1.263,-0.460,-0.713
10.391,1.535,5.440,-1.093,-0.464,-0.654
10.683,1.437,5.076,-0.836,-0.445,-0.567
10.807,1.360,4.843,-0.634,-0.414,-0.495
10.889,1.302,4.652,-0.439,-0.378,-0.422
10.903,1.276,4.417,-0.209,-0.311,-0.327
10.870,1.274,4.238,-0.070,-0.254,-0.260
10.788,1.257,4.070,0.037,-0.196,-0.198
10.618,1.226,3.962,0.128,-0.120,-0.122
10.436,1.166,3.924,0.152,-0.074,-0.072
10.171,1.065,3.936,0.128,-0.020,-0.017
9.962,0.965,3.989,0.073,0.022,0.017
9.756,0.876,4.041,-0.005,0.062,0.048
9.527,0.749,4.087,-0.095,0.102,0.075
9.208,0.543,4.175,-0.222,0.153,0.112
8.995,0.362,4.252,-0.311,0.188,0.142
8.768,0.172,4.322,-0.398,0.215,0.171
8.468,-0.091,4.451,-0.499,0.239,0.207
8.274,-0.304,4.535,-0.555,0.242,0.237
8.097,-0.510,4.590,-0.594,0.234,0.265
7.915,-0.802,4.654,-0.623,0.203,0.302
7.781,-1.044,4.702,-0.622,0.166,0.329
7.654,-1.377,4.762,-0.600,0.098,0.362
7.602,-1.602,4.808,-0.570,0.042,0.386
7.594,-1.827,4.855,-0.536,-0.013,0.407
7.626,-2.121,4.891,-0.486,-0.081,0.430
7.647,-2.339,4.920,-0.447,-0.125,0.439
7.695,-2.564,4.930,-0.407,-0.161,0.443
7.774,-2.835,4.939,-0.362,-0.197,0.433
7.860,-3.000,4.930,-0.339,-0.211,0.415
7.944,-3.144,4.901,-0.331,-0.217,0.387
8.042,-3.285,4.882,-0.337,-0.215,0.334
8.109,-3.371,4.863,-0.351,-0.210,0.287
8.157,-3.433,4.863,-0.368,-0.204,0.231
8.229,-3.476,4.853,-0.388,-0.196,0.150
8.265,-3.474,4.846,-0.393,-0.194,0.087
8.286,-3.476,4.839,-0.378,-0.197,0.005
8.270,-3.484,4.841,-0.348,-0.203,-0.054
8.226,-3.474,4.846,-0.299,-0.216,-0.107
8.169,-3.469,4.841,-0.202,-0.231,-0.164
8.102,-3.457,4.843,-0.109,-0.243,-0.196
8.054,-3.395,4.834,-0.008,-0.257,-0.222
8.023,-3.194,4.800,0.133,-0.273,-0.249
8.025,-3.000,4.784,0.234,-0.286,-0.268
8.056,-2.725,4.781,0.357,-0.297,-0.289
8.073,-2.512,4.762,0.434,-0.305,-0.305
8.092,-2.306,4.741,0.491,-0.311,-0.321
8.121,-2.069,4.683,0.534,-0.315,-0.344
8.229,-1.355,4.520,0.453,-0.268,-0.408
8.274,-1.192,4.475,0.401,-0.229,-0.409
8.262,-1.104,4.472,0.368,-0.195,-0.398
8.238,-1.053,4.480,0.339,-0.161,-0.380
8.236,-1.003,4.463,0.304,-0.124,-0.348
8.241,-0.977,4.463,0.283,-0.097,-0.316
8.267,-0.972,4.448,0.268,-0.073,-0.278
8.272,-0.965,4.453,0.256,-0.044,-0.217
8.298,-1.003,4.468,0.253,-0.027,-0.167
8.339,-1.034,4.480,0.251,-0.014,-0.117
8.389,-1.077,4.496,0.248,-0.001,-0.050
8.432,-1.142,4.513,0.242,0.011,-0.002
8.507,-1.250,4.559,0.233,0.028,0.056
8.552,-1.338,4.592,0.222,0.047,0.098
8.602,-1.422,4.630,0.209,0.071,0.135
8.641,-1.559,4.676,0.184,0.111,0.177
8.672,-1.657,4.724,0.159,0.145,0.203
8.715,-1.724,4.750,0.127,0.179,0.222
8.748,-1.841,4.824,0.077,0.225,0.240
8.748,-1.930,4.901,0.038,0.259,0.250
8.736,-2.037,4.968,-0.002,0.288,0.257
8.686,-2.203,5.047,-0.052,0.319,0.264
8.657,-2.330,5.104,-0.082,0.333,0.269
8.633,-2.433,5.179,-0.105,0.345,0.275
8.569,-2.550,5.282,-0.126,0.354,0.284
8.535,-2.631,5.385,-0.130,0.358,0.293
8.480,-2.722,5.483,-0.125,0.357,0.302
8.406,-2.811,5.593,-0.108,0.347,0.313
8.373,-2.878,5.653,-0.093,0.337,0.321
8.356,-2.952,5.739,-0.078,0.324,0.326
8.317,-3.057,5.837,-0.060,0.305,0.326
8.313,-3.139,5.918,-0.050,0.289,0.324
8.313,-3.208,5.988,-0.044,0.271,0.318
8.296,-3.237,6.093,-0.045,0.252,0.304
8.308,-3.227,6.179,-0.055,0.238,0.287
8.315,-3.220,6.249,-0.071,0.224,0.265
8.332,-3.191,6.321,-0.099,0.207,0.229
8.322,-3.177,6.340,-0.123,0.192,0.199
8.313,-3.141,6.347,-0.147,0.175,0.167
8.270,-3.127,6.352,-0.175,0.152,0.124
8.236,-3.124,6.349,-0.192,0.133,0.092
8.198,-3.103,6.342,-0.202,0.111,0.062
