aX,aY,aZ,gX,gY,gZ
4.494,-15.174,0.802,-0.391,-0.182,1.078
4.252,-16.216,0.630,-0.388,-0.213,1.256
3.994,-16.963,0.539,-0.375,-0.229,1.388
3.757,-17.715,0.397,-0.360,-0.273,1.498
3.450,-18.644,0.194,-0.333,-0.357,1.596
3.244,-19.223,-0.012,-0.311,-0.438,1.623
3.122,-19.671,-0.153,-0.300,-0.533,1.619
3.103,-20.004,-0.251,-0.326,-0.683,1.526
3.079,-20.063,-0.206,-0.379,-0.804,1.396
3.136,-20.004,-0.132,-0.473,-0.982,1.146
3.144,-19.908,-0.215,-0.546,-1.115,0.913
3.144,-19.860,-0.402,-0.610,-1.247,0.654
3.129,-19.903,-0.852,-0.702,-1.390,0.272
3.230,-20.123,-1.255,-0.770,-1.468,-0.040
3.598,-20.636,-1.774,-0.844,-1.520,-0.489
3.996,-21.184,-2.112,-0.894,-1.511,-0.851
4.262,-21.744,-2.428,-0.912,-1.453,-1.225
4.559,-22.422,-2.782,-0.879,-1.265,-1.715
4.769,-22.893,-3.043,-0.823,-1.063,-2.095
4.831,-23.279,-3.266,-0.740,-0.811,-2.483
4.690,-23.703,-3.464,-0.597,-0.411,-2.995
4.537,-23.952,-3.529,-0.476,-0.084,-3.368
4.175,-24.138,-3.575,-0.305,0.347,-3.854
3.857,-24.162,-3.627,-0.168,0.646,-4.203
3.450,-24.059,-3.661,-0.006,0.928,-4.530
2.883,-23.705,-3.577,0.234,1.286,-4.935
2.495,-23.279,-3.457,0.423,1.526,-5.218
2.083,-22.690,-3.328,0.616,1.733,-5.492
1.441,-21.682,-3.117,0.884,1.971,-5.834
0.950,-20.846,-2.964,1.093,2.107,-6.074
0.338,-19.731,-2.739,1.380,2.237,-6.378
-0.168,-18.931,-2.624,1.597,2.293,-6.597
-0.670,-18.107,-2.574,1.808,2.314,-6.809
-1.288,-17.013,-2.588,2.072,2.312,-7.076
-1.978,-13.082,-2.028,2.639,2.345,-7.872
-2.267,-11.858,-1.355,2.866,2.465,-8.037
-1.860,-11.188,-1.547,2.946,2.220,-8.223
-1.937,-10.197,-1.489,3.227,2.240,-8.277
-2.976,-8.760,-0.151,3.474,2.625,-8.367
-2.959,-7.745,0.251,3.412,2.716,-8.551
-2.792,-6.249,0.488,3.042,2.480,-8.731
-2.442,-5.078,0.522,2.704,2.243,-8.731
-2.272,-3.809,0.687,2.514,2.205,-8.731
-2.320,-2.222,0.950,2.522,2.362,-8.731
-2.586,-1.128,1.176,2.682,2.590,-8.731
-3.093,-0.244,1.547,2.870,2.782,-8.731
-3.261,0.730,2.061,3.054,2.872,-8.731
-3.282,1.721,2.277,3.192,2.922,-8.731
-3.728,3.148,2.686,3.376,3.074,-8.731
-4.515,5.593,3.424,3.630,3.271,-8.731
-5.368,7.757,3.934,3.793,3.384,-8.731
-6.041,9.981,4.357,3.858,3.405,-8.731
-7.163,12.929,4.865,3.886,3.364,-8.731
-8.636,14.990,5.562,3.838,3.213,-8.731
-10.080,16.630,6.254,3.717,2.949,-8.731
-11.609,17.851,7.010,3.388,2.449,-8.731
-12.086,17.894,7.072,3.048,1.994,-8.731
-12.285,17.358,6.665,2.732,1.575,-8.731
-12.232,16.156,5.780,2.416,1.117,-8.603
-12.064,15.445,4.944,2.295,0.877,-8.082
-11.629,15.325,3.783,2.286,0.678,-7.340
-11.258,16.000,3.057,2.358,0.602,-6.754
-10.726,17.351,2.619,2.446,0.558,-6.142
-9.515,19.774,2.488,2.527,0.517,-5.267
-8.248,21.627,2.643,2.512,0.487,-4.589
-6.742,23.269,2.832,2.397,0.422,-3.916
-4.922,24.878,3.237,2.132,0.363,-3.049
-3.709,25.572,3.524,1.859,0.327,-2.442
-2.564,25.817,3.603,1.529,0.262,-1.888
-1.154,25.455,3.493,1.029,0.142,-1.252
-0.323,24.828,3.412,0.650,0.067,-0.854
0.256,23.985,3.292,0.271,-0.038,-0.524
0.927,22.690,3.105,-0.215,-0.206,-0.177
1.425,21.648,2.950,-0.561,-0.347,0.009
1.896,20.621,2.904,-0.879,-0.451,0.140
