aX,aY,aZ,gX,gY,gZ
-5.447,10.137,6.800,0.181,0.630,-3.449
-5.351,11.349,7.120,0.248,0.535,-3.469
-5.181,12.589,7.391,0.325,0.439,-3.459
-4.839,14.279,7.666,0.432,0.317,-3.410
-4.480,15.548,7.851,0.515,0.232,-3.352
-4.027,16.774,8.009,0.597,0.156,-3.281
-3.345,18.320,8.143,0.700,0.062,-3.173
-2.789,19.331,8.205,0.771,-0.003,-3.085
-2.248,20.209,8.215,0.834,-0.061,-2.994
-1.566,21.160,8.200,0.897,-0.129,-2.871
-1.085,21.725,8.138,0.932,-0.173,-2.779
-0.479,22.276,8.049,0.958,-0.231,-2.661
-0.014,22.570,8.004,0.965,-0.276,-2.578
0.493,22.754,7.937,0.956,-0.331,-2.498
1.087,23.047,7.942,0.901,-0.413,-2.410
1.822,23.018,7.317,0.787,-0.403,-2.342
2.612,23.233,7.154,0.682,-0.924,-2.353
3.239,23.003,7.894,0.616,-0.728,-2.320
3.531,22.632,7.887,0.603,-0.527,-2.219
3.955,22.237,7.582,0.604,-0.380,-2.100
4.216,21.682,7.314,0.548,-0.167,-1.925
4.489,21.165,6.785,0.452,-0.205,-1.795
4.755,20.664,6.670,0.321,-0.374,-1.708
5.210,19.807,6.816,0.162,-0.502,-1.593
5.614,19.029,7.027,0.070,-0.466,-1.510
6.000,18.225,7.166,-0.007,-0.319,-1.438
6.361,17.114,7.080,-0.088,-0.064,-1.356
6.505,16.307,6.718,-0.159,0.065,-1.324
6.584,15.565,6.321,-0.228,0.029,-1.313
6.665,14.717,6.060,-0.308,-0.143,-1.323
6.800,14.109,6.055,-0.351,-0.254,-1.330
6.965,13.499,6.124,-0.374,-0.318,-1.334
7.116,12.732,6.191,-0.379,-0.331,-1.326
7.226,12.239,6.206,-0.369,-0.310,-1.316
7.321,11.667,6.081,-0.343,-0.274,-1.295
7.403,11.346,5.983,-0.322,-0.274,-1.283
7.470,11.116,5.808,-0.302,-0.297,-1.273
7.551,10.944,5.669,-0.270,-0.386,-1.265
7.683,10.884,5.631,-0.248,-0.463,-1.264
7.875,10.860,5.634,-0.225,-0.512,-1.262
8.143,10.865,5.607,-0.201,-0.528,-1.258
8.317,10.927,5.619,-0.184,-0.531,-1.256
8.408,11.013,5.567,-0.173,-0.558,-1.250
8.531,11.236,5.449,-0.173,-0.662,-1.233
8.686,11.521,5.428,-0.186,-0.778,-1.213
8.971,12.074,5.552,-0.220,-0.935,-1.180
9.218,12.608,5.669,-0.259,-1.022,-1.150
9.488,13.118,5.705,-0.307,-1.078,-1.121
9.890,13.539,5.586,-0.374,-1.128,-1.070
10.211,13.731,5.547,-0.426,-1.175,-1.025
10.575,13.831,5.468,-0.479,-1.210,-0.973
11.114,13.812,5.339,-0.528,-1.266,-0.887
12.802,12.737,5.217,-0.522,-1.267,-0.535
13.144,12.414,5.174,-0.473,-1.213,-0.406
13.352,12.354,5.160,-0.431,-1.184,-0.310
13.530,12.452,5.188,-0.387,-1.160,-0.217
13.692,12.673,5.260,-0.336,-1.134,-0.101
13.800,12.828,5.303,-0.307,-1.111,-0.015
13.951,12.941,5.344,-0.285,-1.093,0.072
14.195,12.989,5.442,-0.275,-1.068,0.200
14.365,12.890,5.514,-0.274,-1.047,0.308
14.566,12.720,5.507,-0.273,-1.019,0.425
14.878,12.426,5.464,-0.271,-0.973,0.589
15.069,12.234,5.432,-0.270,-0.939,0.708
15.230,12.016,5.397,-0.266,-0.894,0.858
15.316,11.844,5.368,-0.263,-0.853,0.965
15.337,11.629,5.332,-0.262,-0.803,1.071
15.270,11.284,5.243,-0.258,-0.741,1.217
15.208,11.035,5.193,-0.256,-0.695,1.331
15.155,10.853,5.152,-0.252,-0.644,1.450
15.052,10.690,5.054,-0.246,-0.578,1.593
14.930,10.602,4.987,-0.242,-0.529,1.697
14.765,10.479,4.858,-0.240,-0.489,1.796
14.487,10.245,4.784,-0.236,-0.444,1.933
14.269,10.034,4.709,-0.233,-0.399,2.046
14.023,9.771,4.609,-0.228,-0.356,2.165
13.652,9.275,4.525,-0.211,-0.276,2.335
13.420,8.880,4.345,-0.209,-0.211,2.465
13.077,8.473,4.233,-0.206,-0.170,2.588
12.605,7.939,4.085,-0.203,-0.115,2.750
12.280,7.472,3.977,-0.213,-0.097,2.863
11.875,6.926,3.919,-0.213,-0.078,2.968
11.344,6.187,3.907,-0.210,-0.051,3.097
10.932,5.629,3.821,-0.207,-0.026,3.178
10.530,4.949,3.773,-0.205,-0.014,3.245
10.005,4.085,3.764,-0.188,0.012,3.318
9.598,3.572,3.718,-0.176,0.035,3.360
9.201,3.045,3.646,-0.162,0.037,3.398
8.739,2.404,3.591,-0.139,0.035,3.442
8.411,1.932,3.500,-0.118,0.029,3.470
8.095,1.501,3.419,-0.098,0.031,3.498
7.731,0.950,3.299,-0.070,0.060,3.534
7.465,0.572,3.160,-0.045,0.073,3.554
7.228,0.225,3.053,-0.013,0.083,3.572
6.941,-0.227,2.928,0.034,0.111,3.591
6.713,-0.517,2.844,0.067,0.133,3.602
6.507,-0.781,2.698,0.098,0.151,3.608
6.249,-1.058,2.550,0.136,0.159,3.608
6.084,-1.245,2.423,0.159,0.149,3.599
5.962,-1.417,2.303,0.180,0.136,3.583
5.799,-1.645,2.176,0.205,0.127,3.551
5.674,-1.805,2.088,0.226,0.125,3.520
5.593,-1.980,1.978,0.247,0.130,3.482
5.471,-2.236,1.858,0.267,0.129,3.416
5.349,-2.435,1.753,0.278,0.130,3.358
5.231,-2.658,1.671,0.285,0.109,3.297
5.121,-2.940,1.630,0.279,0.105,3.207
5.066,-3.156,1.530,0.254,0.094,3.126
5.088,-3.273,1.439,0.199,0.076,3.023
5.085,-3.378,1.415,0.096,0.053,2.861
