aX,aY,aZ,gX,gY,gZ
4.322,5.291,-12.282,-0.253,-4.315,-1.854
4.355,6.024,-13.288,-0.285,-4.203,-1.812
4.415,6.579,-14.040,-0.321,-4.109,-1.782
4.537,7.058,-14.720,-0.377,-4.012,-1.749
4.925,7.614,-15.598,-0.481,-3.862,-1.706
5.298,7.870,-16.039,-0.584,-3.746,-1.674
5.717,8.085,-16.554,-0.714,-3.625,-1.641
5.753,8.358,-16.676,-0.908,-3.372,-1.596
5.760,8.289,-16.568,-1.058,-3.257,-1.549
5.885,8.045,-16.668,-1.240,-3.107,-1.475
6.091,7.788,-16.735,-1.340,-2.969,-1.411
6.239,7.549,-16.721,-1.400,-2.818,-1.339
6.266,7.219,-16.585,-1.404,-2.632,-1.223
6.280,6.941,-16.544,-1.354,-2.519,-1.123
6.426,6.534,-16.618,-1.227,-2.377,-0.986
6.584,6.237,-16.666,-1.096,-2.259,-0.891
6.668,5.954,-16.654,-0.941,-2.135,-0.804
6.634,5.555,-16.544,-0.705,-1.985,-0.701
6.610,5.260,-16.475,-0.519,-1.891,-0.638
6.618,4.990,-16.419,-0.336,-1.811,-0.589
6.603,4.724,-16.340,-0.107,-1.722,-0.548
6.574,4.583,-16.269,0.052,-1.673,-0.533
6.515,4.494,-16.194,0.250,-1.631,-0.527
6.498,4.482,-16.185,0.384,-1.608,-0.527
6.524,4.518,-16.142,0.503,-1.586,-0.528
6.606,4.640,-16.051,0.636,-1.546,-0.522
6.689,4.752,-15.974,0.716,-1.506,-0.511
6.788,4.877,-15.830,0.777,-1.462,-0.493
6.965,5.054,-15.620,0.831,-1.391,-0.460
7.104,5.157,-15.428,0.850,-1.327,-0.432
7.254,5.217,-15.225,0.850,-1.256,-0.403
7.432,5.200,-14.935,0.819,-1.153,-0.365
7.566,5.164,-14.698,0.773,-1.075,-0.338
7.724,5.116,-14.396,0.687,-0.966,-0.310
7.841,5.057,-14.174,0.609,-0.878,-0.292
7.944,4.963,-13.937,0.527,-0.784,-0.279
8.037,4.822,-13.580,0.419,-0.659,-0.268
8.085,4.690,-13.302,0.346,-0.569,-0.262
7.997,3.941,-12.033,0.154,-0.172,-0.242
7.927,3.788,-11.736,0.148,-0.091,-0.236
7.841,3.644,-11.447,0.149,-0.016,-0.229
7.709,3.505,-11.056,0.155,0.072,-0.222
7.606,3.440,-10.748,0.159,0.129,-0.219
7.472,3.393,-10.479,0.161,0.176,-0.216
7.298,3.335,-10.116,0.159,0.223,-0.217
7.161,3.304,-9.888,0.154,0.248,-0.217
7.010,3.299,-9.653,0.145,0.264,-0.218
6.802,3.340,-9.373,0.128,0.274,-0.220
6.622,3.400,-9.213,0.114,0.273,-0.224
6.450,3.474,-9.069,0.099,0.266,-0.228
6.239,3.553,-8.890,0.075,0.247,-0.233
6.103,3.613,-8.780,0.056,0.229,-0.236
6.014,3.649,-8.677,0.035,0.209,-0.237
5.930,3.701,-8.526,0.004,0.182,-0.240
5.871,3.725,-8.394,-0.025,0.163,-0.241
5.823,3.764,-8.236,-0.066,0.136,-0.242
5.782,3.802,-8.179,-0.095,0.117,-0.244
5.744,3.814,-8.124,-0.121,0.099,-0.244
5.689,3.802,-8.095,-0.148,0.080,-0.241
5.660,3.759,-8.045,-0.160,0.067,-0.235
5.634,3.733,-7.992,-0.165,0.058,-0.226
5.648,3.692,-7.934,-0.161,0.053,-0.208
5.641,3.687,-7.908,-0.150,0.053,-0.192
5.650,3.685,-7.879,-0.134,0.056,-0.173
5.641,3.682,-7.841,-0.104,0.065,-0.144
5.624,3.682,-7.807,-0.079,0.073,-0.122
5.586,3.704,-7.745,-0.047,0.083,-0.091
5.569,3.713,-7.705,-0.025,0.091,-0.068
5.567,3.730,-7.669,-0.009,0.100,-0.047
5.545,3.749,-7.604,0.002,0.113,-0.021
5.514,3.747,-7.561,0.003,0.120,-0.005
5.485,3.735,-7.503,-0.000,0.124,0.009
5.437,3.713,-7.460,-0.007,0.122,0.023
5.413,3.694,-7.448,-0.013,0.116,0.029
5.397,3.663,-7.432,-0.021,0.107,0.034
5.392,3.610,-7.415,-0.030,0.096,0.040
5.387,3.555,-7.408,-0.039,0.085,0.043
5.382,3.522,-7.369,-0.047,0.075,0.047
5.409,3.464,-7.331,-0.058,0.062,0.053
5.413,3.448,-7.329,-0.067,0.051,0.056
5.413,3.433,-7.321,-0.076,0.039,0.058
5.423,3.388,-7.348,-0.090,0.025,0.058
5.428,3.342,-7.372,-0.101,0.014,0.057
5.473,3.278,-7.408,-0.116,0.002,0.055
5.492,3.244,-7.420,-0.127,-0.005,0.053
5.514,3.208,-7.427,-0.137,-0.010,0.051
5.564,3.175,-7.468,-0.149,-0.012,0.049
5.590,3.136,-7.513,-0.156,-0.013,0.047
