aX,aY,aZ,gX,gY,gZ
18.723,-6.965,0.663,-0.713,-0.306,-0.455
18.658,-6.232,-0.347,-0.865,-0.014,-0.617
19.108,-6.179,-1.599,-0.904,0.661,-0.834
20.638,-7.353,-2.830,-0.710,1.289,-1.000
21.861,-7.992,-4.089,-0.286,2.019,-1.215
23.621,-8.784,-6.835,0.605,3.194,-1.589
25.525,-9.510,-9.479,1.385,4.353,-1.935
26.489,-9.807,-12.268,2.161,5.686,-2.343
25.549,-9.773,-15.347,3.074,7.562,-2.982
23.770,-9.677,-17.097,3.652,8.731,-3.539
21.055,-9.728,-18.988,4.137,8.731,-4.150
17.047,-9.457,-21.478,4.650,8.731,-5.056
13.159,-9.129,-23.274,4.944,8.731,-5.804
8.552,-8.808,-24.847,5.195,8.731,-6.580
1.571,-7.942,-26.619,5.472,8.731,-7.552
-3.754,-6.553,-27.382,5.608,8.731,-8.159
-9.606,-3.967,-27.102,5.574,8.731,-8.731
-13.618,-2.315,-25.956,5.327,8.731,-8.731
-16.685,-0.840,-24.644,4.859,8.731,-8.731
-17.973,0.915,-21.579,3.944,8.731,-8.731
-17.540,1.927,-19.094,3.122,8.731,-8.710
-16.788,2.528,-16.257,2.218,8.731,-8.431
-15.948,2.753,-12.203,1.226,8.731,-8.074
-15.862,2.658,-9.629,0.619,8.731,-7.878
-16.118,2.243,-7.084,0.036,8.731,-7.672
-16.678,1.262,-3.041,-0.478,8.731,-7.354
-17.028,0.306,-0.273,-0.706,8.731,-7.111
-17.499,-0.553,2.514,-0.851,8.731,-6.865
-18.438,-1.798,5.962,-0.892,8.731,-6.452
-19.450,-2.298,8.377,-0.855,8.731,-6.116
-20.830,-2.557,11.042,-0.741,8.731,-5.745
-28.615,1.618,22.180,0.347,8.731,-3.737
-30.095,4.125,24.071,0.470,8.731,-3.239
-31.563,7.570,26.063,0.481,7.076,-2.510
-32.520,9.459,27.186,0.351,5.728,-1.938
-32.939,10.855,27.749,0.155,4.344,-1.376
-33.279,11.353,27.847,-0.167,2.509,-0.655
-33.361,11.059,27.567,-0.401,1.155,-0.155
-33.193,10.362,26.887,-0.627,-0.160,0.322
-32.315,9.024,25.405,-0.878,-1.810,0.877
-31.441,7.582,24.186,-0.995,-2.948,1.228
-30.270,6.167,22.889,-1.022,-4.012,1.534
